Departure ICAO,Departure Time,Arrival ICAO,Arrival Time,Duration
LIPZ,14:55z,LFPG,16:50z,1:55
LFPG,13:10z,LEMG,15:55z,2:45
LEMG,16:50z,LFPG,19:35z,2:45
LFPG,15:00z,LIMC,16:25z,1:25
LIMC,17:25z,LFPG,19:00z,1:35
LFPG,14:25z,LOWW,16:25z,2:00
LOWW,17:20z,LFPG,19:30z,2:10
LFPG,11:35z,EHAM,12:55z,1:20
EHAM,13:55z,LFPG,15:15z,1:20
LFPG,08:45z,LEMG,11:20z,2:35
LEMG,12:20z,LFPG,15:00z,2:40
LFPG,20:05z,LEMG,22:40z,2:35
LEMG,05:05z,LFPG,07:45z,2:40
LFPG,06:20z,EKCH,08:20z,2:00
EKCH,09:15z,LFPG,11:15z,2:00
LFPG,17:40z,GMMX,22:00z,4:20
LFPG,17:40z,GMMX,21:00z,3:20
GMMX,05:00z,LFPG,08:30z,3:30
LFPG,10:55z,LBSF,13:40z,2:45
LBSF,14:30z,LFPG,17:30z,3:00
LFPG,14:35z,LEMD,16:40z,2:05
LEMD,17:45z,LFPG,19:55z,2:10
LFPG,15:35z,LSZH,16:50z,1:15
LSZH,17:50z,LFPG,19:15z,1:25
LFPG,14:30z,EDDM,16:00z,1:30
EDDM,17:00z,LFPG,18:45z,1:45
LFPG,14:35z,LIPE,16:20z,1:45
LIPE,17:15z,LFPG,19:10z,1:55
LFPG,08:05z,LIMC,09:35z,1:30
LIMC,10:35z,LFPG,12:10z,1:35
LFPG,14:10z,EDDB,15:55z,1:45
LFPG,14:45z,EDDB,16:30z,1:45
EDDB,17:30z,LFPG,19:25z,1:55
EDDB,16:55z,LFPG,18:50z,1:55
LFPG,13:20z,EHAM,14:40z,1:20
EHAM,15:40z,LFPG,17:00z,1:20
LFPG,08:55z,LSGG,10:10z,1:15
LSGG,11:05z,LFPG,12:25z,1:20
LFPG,09:20z,DAAG,11:40z,2:20
DAAG,13:00z,LFPG,15:35z,2:35
LFPG,08:55z,LROP,11:50z,2:55
LFPG,07:10z,LROP,10:05z,2:55
LROP,12:50z,LFPG,16:00z,3:10
LROP,11:05z,LFPG,14:15z,3:10
LFPG,12:35z,LMML,15:20z,2:45
LFPG,06:10z,GMMN,09:20z,3:10
GMMN,10:25z,LFPG,13:35z,3:10
LFPG,06:30z,LFRS,07:35z,1:05
LFRS,08:30z,LFPG,09:35z,1:05
LFPG,15:25z,EGFF,16:55z,1:30
EGFF,17:45z,LFPG,19:15z,1:30
LFML,05:20z,LFPO,06:45z,1:25
LFPO,06:15z,LFML,07:35z,1:20
LFML,08:20z,LFPO,09:45z,1:25
LFPO,08:15z,LFML,09:35z,1:20
LFML,15:20z,LFPO,16:45z,1:25
LFPO,19:15z,LFML,20:35z,1:20
LFBD,16:55z,LFKJ,18:25z,1:30
LFKJ,14:40z,LFBD,16:10z,1:30
LFPO,06:00z,LFBO,07:15z,1:15
LFBO,05:30z,LFPO,06:50z,1:20
LFBO,06:30z,LFPO,07:50z,1:20
LFPO,07:30z,LFBO,08:45z,1:15
